"group","value"
"Control",3.15053317660235
"Control",1.96401987299935
"Control",3.75668762022336
"Control",2.51146017319751
"Control",1.1488255135833
"Control",2.14720339073231
"Control",1.18723834336424
"Control",4.72419041320615
"Control",2.63926484431102
"Control",4.11425947994104
"Control",1.22542922657592
"Control",1.79689477546295
"Control",1.90847203934232
"Control",0.860868098034193
"Control",2.08046120469419
"Control",3.98754594873534
"Control",1.05605229588876
"Control",2.17932244019043
"Control",1.99797653965366
"Control",1.87892035417343
"Control",1.61935778482234
"Control",1.44836060521928
"Control",1.80032243474311
"Control",1.11367682898623
"Control",2.52895779349307
"Control",2.18114655517198
"Control",1.11944261038193
"Control",2.16811051315428
"Control",0.938281950165181
"Control",2.08781288007156
"Control",3.26413825464555
"Control",2.17213071268842
"Control",1.5585136272664
"Control",1.13569249193713
"Control",1.34239972299956
"Control",4.87177116620023
"Control",1.34621017438185
"Control",2.12349322005008
"Control",1.32675258395079
"Control",3.56578078277773
"Tratamiento",1.7434062239426
"Tratamiento",1.17173902629771
"Tratamiento",3.29459212030437
"Tratamiento",2.90468757371946
"Tratamiento",1.99165014150257
"Tratamiento",1.79336181678678
"Tratamiento",1.43049810550731
"Tratamiento",3.41662898932941
"Tratamiento",2.7160692451833
"Tratamiento",2.32214776473271
"Tratamiento",1.87406399024488
"Tratamiento",2.12456180991854
"Tratamiento",1.97573090350449
"Tratamiento",1.46349832582243
"Tratamiento",2.06515030376505
"Tratamiento",3.49939262784889
"Tratamiento",2.94458382633494
"Tratamiento",3.57333779340921
"Tratamiento",2.87254098560043
"Tratamiento",4.29121054009239
"Tratamiento",2.51365191994166
"Tratamiento",5.04341782544069
"Tratamiento",2.16710700060062
"Tratamiento",2.16864816799326
"Tratamiento",1.63204936301495
"Tratamiento",1.24554000548427
"Tratamiento",2.39407534536177
"Tratamiento",2.0571880175379
"Tratamiento",1.23870429117165
"Tratamiento",3.18473629070994
"Tratamiento",3.46978382191749
"Tratamiento",3.39577349491227
"Tratamiento",2.42507311328958
"Tratamiento",3.36738736562199
"Tratamiento",5.89285926832448
"Tratamiento",3.68033594405725
"Tratamiento",1.75737416910737
"Tratamiento",3.23965579064471
"Tratamiento",1.20949030038233
"Tratamiento",1.55098561704602
"Tratamiento",2.79374970685224
"Tratamiento",3.22583398346861
"Tratamiento",4.10137596552367
"Tratamiento",2.88516739584382
"Tratamiento",1.31974236187501
"Tratamiento",1.52513389780399
"Tratamiento",2.9056606836351
"Tratamiento",2.66981374709308
"Tratamiento",3.16820576390019
"Tratamiento",2.02081132814171
"Tratamiento",2.66015137042865
"Tratamiento",2.95237230613989
"Tratamiento",3.40642853048096
"Tratamiento",2.51316035983949
"Tratamiento",2.54996513698008
"Tratamiento",2.69384111058123
"Tratamiento",3.75479750601463
"Tratamiento",3.97880288980685
"Tratamiento",2.5093425352717
"Tratamiento",2.3049218599392
