"group","value"
"Control",0.678744816175299
"Control",5.24670482929154
"Control",0.457840284743388
"Control",0.915968635091717
"Control",0.728064688170237
"Control",1.15108919536247
"Control",2.94988964309792
"Control",3.86094254810577
"Control",1.5459341100738
"Control",3.01060329364406
"Control",3.70212378707207
"Control",0.89032844711687
"Control",3.72028163018698
"Control",0.459576170045522
"Control",1.86087763630139
"Control",3.8210354158884
"Control",2.54398271920264
"Control",2.40449067308628
"Control",0.933875370402137
"Control",3.16565486946024
"Control",1.11667992059099
"Tratamiento",3.06846759682612
"Tratamiento",2.9397645118729
"Tratamiento",3.10024730254449
"Tratamiento",3.07165540050184
"Tratamiento",2.92929343153625
"Tratamiento",9.79476852332118
